Num,target,statement
127,Neutral,"But for realising the slogan of 'Jai Jawan, Jai Kisan', the plight of farmers should also be addressed, Badal said."
128,Pro,"Still hoping for a fiscal bailout from the Prime Minister, Badal said the PM understands Punjab's problems and he does not need to be reminded about them."
129,Neutral,"Bin maange moti mile, maange mile na bheek (sometimes you get everything without even asking while you don't get anything even if you beg), Badal said."
130,Pro,"In a statement issued here, Akali MPs Sukhdev Singh Dhindsa and Balwinder Singh Bhunder from the Rajya Sabha and Prem Singh Chandumajra from the Lok Sabha said Ekta, Ugrahan and few other factions of the Bharti Kisan Union (BKU) were trying to sow seeds of discontent in the peasantry."
131,Pro,"However, state government has plans to conduct the survey, said Inderjit Singh, head of the economics department at Punjabi University."
132,Pro,"The government should give `5 lakh cash to the family of a farmer who commits suicide, a job offer, besides waving the debts, said Jagmohan Singh, state secretary of the Bharatiya Kisan Union, Punjab."
133,Neutral,"Agriculture minister Tota Singh said: We have been maintaining records of all suicides on our own since 2011, so there is no need for a fresh survey."
134,Pro,"On a trip to villages in his Lambi assembly constituency last week, Badal, while speaking on the Amarinder Singh govts debt waiver scheme during an interaction with the media, said he was willing to talk to top brass of the government for the sake of debt-ridden farmers."
135,Neutral,Badal said a panel for farmers cause would be a real tribute to Lok Nayak Jai Prakash Narayan.
136,Neutral,Badal said the life and philosophy of the Lok Nayak was a lighthouse for the entire countrymen.
137,Neutral,Badal said JP gave a call of total revolution which motivated the entire country.
138,Neutral,Badal said the JP movement became the biggest threat to Indira Gandhi after which she imposed Emergency to suppress the democratic movement.
139,Neutral,"But now the country has ushered in a big change by electing a government under the leadership of Narendra Modi, which is working tirelessly to fulfil the dreams of national heroes such as JP, Badal said."
140,Neutral,"Replying to another query, Badal said Punjab did not have a single drop of surplus water for any state."
141,Neutral,"Speaking on the pardon granted to the Dera Sacha Sauda chief, Badal said the Akal Takht was the supreme body of the Sikhs, adding that the SAD didnt interfere with its decisions."
142,Pro,Deputy chief minister Sukhbir Singh Badal on Tuesday said Prime Minister Narendra Modi has assured the chief minister Parkash Singh Badal and himself on fiscal assistance to the state.
143,Neutral,"The Prime Minister gave a patient hearing and assured to resolve the pending issues of the state to maintain the pace of development and growth in Punjab, Sukhbir Badal told reporters here on the sidelines of a cabinet meeting."
144,Pro,"Answering a query regarding financial package, Badal said the state had demanded outstanding debt waiver and refund of Rs 2,694 crore paid as interest on special term loan amounting to Rs 5,800 crore by the state for fighting militancy."
145,Pro,"Sanjay Singh said from November onwards AAP cadres would begin a mass contact programme by visiting each and every household in the state, explaining the policies and programmes of the party."
146,Pro,"Terming the Union Railway budget people-friendly and development-oriented, the Punjab chief minister Parkash Singh Badal on Monday said that the decision to involve states to make the Railways the backbone of national connectivity would usher in a new era of cooperative federalism in the country."
147,Pro,"Likewise, Badal said that the announcement on embarking Kisan Yatra, a special travel scheme to help farmers to learn about new farming and marketing techniques, would also go a long way in bailing out the farmers from current agrarian crisis."
0,Pro,"Prasad said in order to help children suffering from autism, an e-learning tool has also been developed by the National Institute of Mentally Handicapped and all the scholarships will be under one banner."
1,Pro,"By giving them all the pro-poor subsidies and benefits we have saved Rs 36,000 crore in the last one year because of application of digital technologies, Ravi Shankar Prasad said."
2,Pro,"Jan Dhan-Aadhar-Mobile trinity, commonly known as JAM, helped the Government save leakages worth Rs 36,000 crore in subsidies and benefits provided to the poor, during the last one year, Union Minister Ravi Shankar Prasad today said."
3,Pro,"By giving them all the pro-poor subsidies and benefits we have saved Rs 36,000 crore in the last one year because of application of digital technologies, Prasad said addressing the inauguration of India International Trade Fair in the national capital."
4,Anti,"Prasad, who also holds the charge of Law Minister, said the government is not ignorant of the need for cyber security initiatives to be strengthened further."
5,Neutral,"We want to make India a big hub of electronics manufacturing, Prasad said."
6,Neutral,"Security concerns are more important than the Home Ministerwe want to know by what time the National Population Register will be ready, party chief spokesperson Ravi Shankar Prasad told reporters here."
7,Anti,Prasad said in this light the turf war between the Planning Commission and the Home Ministry on such a sensitive issue was very unfortunate.
8,Neutral,"Disclosing this to the media here on Wednesday, UIDAI Deputy Director General Ashok Dalwai said the authority would begin the exercise on a trial basis across the country on May 1, before taking it up in earnest on May 15."
9,Neutral,"To bridge the gap, it was decided to develop a special software for them, Dalwai said."
10,Neutral,"1.7 million cardsSaying that there has been an improvement in the frequency in generating Aadhaar cards per day ever since it was launched in 2010, Dalwai said  1.2 million Aadhaar cards were generated every day presently."
11,Neutral,"UIDAI Deputy Director General Ashok Dalwai said that the proposed centres require enrolment kits, which cost Rs  1.5 lakh each."
12,Neutral,"It is yet to be decided whether we should hire staff or train the existing personnel, Dalwai said."
13,Anti,"Dalwai said that one would be asked to re-enrol for Aadhaar, if the collected data failed in the quality check for validations."
14,Anti,"Ashok Dalwai, Deputy Director General, UIDAI (Karnataka), said that the Authority had received several complaints in that regard."
15,Pro,UIDAI Deputy Director General (Bangalore regional office) Ashok Dalwai told Deccan Herald that the software - which is more accurate and contains more security features - would be simultaneously released in all 18 states where UIDAI is operating.
16,Pro,"Dalwai said the second phase of Aadhaar enrolments would be more stringent and foolproof, both at the enrolment level and data uploading level."
17,Neutral,Dalwai said errors committed at data uploading level would be monitored strictly and each error would cost the operator a penalty of up to Rs 500.
18,Pro,Dalwai said pilot projects are on in Bangalore and New Delhi to keep track of enrolment centres through Global Positioning System.
19,Pro,"Progress so farState Enrolled Uploaded Aadhaar card generatedKarnataka 1,59,37,059 1,55,36,169 1,33,19,240Tamil Nadu 30,37,149 29,53,854 27,27,574Puducherry 9,11,244 8,82,803 7,74,646Kerala 71,15,818 65,74,719 55,48,154Total 2,70,01,270 2,59,47,545 2,23,69,614Source: UIDAIEnrol from anywhereWhen questioned about citizens who have missed out on enrolling in the first phase and whether there would be enrolment centres in the districts which have been already covered, Dalwai said anybody could enrol from any part of the State or country, provided they have the necessary documents."
20,Pro,Dalwai said even those residents whose enrolments have been rejected can approach the enrolment centres with necessary documents and go for fresh enrolments.
21,Pro,"Ashok Dalwai, Deputy Director of the UIDAI Regional Office, Bangalore, said UIDAI, in a bid to reduce processing time, had enhanced the capacity of the Central Identification Repository to process 10 lakh packets per day from the current five lakh."
22,Anti,"Dalwai said the response received by UIDAI was too overwhelming and that there was an immediate need to enhance infrastructure, especially pertaining to processing of enrolments."
23,Pro,"Ashok Dalwai, Deputy Director, Unique Identification Authority of India (UIDAI) said unique identification (UID) card was a legal database collection system and there was no chance of the data being misused."
24,Neutral,"Dalwai in his reply said that the money spent on the project is subject to audit by the Comptroller and Auditor General (CAG)Prabhakar said that payments under the Mahatma Gandhi National Rural Employment Guarantee Scheme (MGNREGS) can be accounted for and it will be sent directly to the beneficiaries accounts, which can be operated by the beneficiaries using their UID cards."
25,Neutral,"Ashok M R Dalwai, Deputy Director General of UIDAI, responding to the percentage of enrolment in the district, said, there were no surprises in the rate of enrolment observed in the district."
26,Pro,Jaitley said the bill had a proviso that said only officers of joint secretary-level and above could order sharing of biometric information.
27,Pro,"Worryingly, as our young population ages, it is also going to be pension-less, Jaitley said."
28,Pro,"On Wednesday, finance minister Arun Jaitley said that an Aadhaar card could become the sole identifier for a person in future."
29,Pro,"A stage may come that the unique identity will become the only card, Jaitley said, replying to the debate on finance bill."
30,Pro,"UIDAI will eventually increase its biometric authentication capacity to 40 crore, UIDAI Chief Executive Officer Ajay Bhushan Pandey told reporters here."
31,Pro,"This actually is a good practice whenever they submit photocopies of documents, UIDAI Chief Executive Officer Ajay Bhushan Pandey said in a statement."
32,Neutral,"so we are focusing on it, UIDAI CEO Ajay Bhushan Pandey told PTI."
33,Anti,"as we reach a saturation, we have to step-up and identify the people all over the country who are yet to be enrolled, Mr. Pandey said."
34,Pro,"Mr. Pandey said a lot of planning has gone into JAM over the last six years and he was happy to see all the three things (Jan Dhan bank accounts, Aadhar numbers and mobile phone numbers) integrated with great efficiency in Krishna district."
35,Anti,"We have taken strict action against them, UIDAI CEO Ajay Bhushan Pandey said."
36,Pro,"UIDAI has not authorised the owners of these mobile applications or websites to extend any Aadhaar-related services on its behalf, Mr Pandey said in the statement."
37,Pro,"Aadhaar is robust, safe, secure and totally accountable, Prasad told reporters here."
38,Anti,"Answering Congress' charge that the Bharatiya Janata Party and its leaders, including current Prime Minister Narendra Modi, when in opposition had opposed the idea of Aadhaar, Prasad said that BJP was against it as personal information of the people was being collected in absence of any law in relation to it."
39,Pro,"NEW DELHI: The Central government is planning to make all ration shops under the public distribution system in the country Aadhaar-enabled by June 30 this year, IT minister Ravi Shankar Prasad today said."
40,Pro,We will make all  5.58 lakh ration shops Aadhar-enabled by June 30.
41,Neutral,"We are in discussion with Food and Consumer Affairs Ministry for this, Prasad told reporters here."
42,Pro,"In Gujarat, even payment in ration shops is being made using thumb impression which is linked to Aadhaar, Prasad said."
43,Pro,"It will take care of consumer interest and cyber security, Prasad said."
44,Pro,"Observing that at present, over 113 crore residents in India have Aadhaar, Prasad said that Aadhaar is safe, let me say proudly that the data is secure."
45,Neutral,"So these realities are known, Prasad said."
46,Pro,"This is the kind of safeguards we have given that the biometrics of an ordinary person even in case of national security cannot be opened unless certified by this level of higher authorities, Prasad said."
47,Pro,"Prasad said the government saved about Rs 50,000 crore LPG subsidy due to the linking of Aadhaar card with Jhan Dhan accounts."
48,Pro,"Now there is a robust legisation that has laid down the entire format of how the biometric data will be collected, processed, stored and under what terms and conditions will it be used, Prasad said."
49,Neutral,"That is why the people have brought us to power, Prasad said."
50,Neutral,"We're committed to the quality of every enrollment, said Ashok Dalwai, deputy director general, Unique identification Authority of India."
51,Neutral,", said Dalwai."
52,Pro,"It's a new feature in the second phase of enrollment which will begin shortly, Dalwai told TOI."
53,Pro,"They can log on to the UIDAI website, enter their enrolment number and take a printout of the e-Aadhaar card which can be used for various schemes till the actual Aadhaar number arrives , said UIDAI deputy director-general Ashok Dalwai."
54,Anti,"Authorization through postal department would not be accepted officially but if there is no choice, then one can go for such process also, said Ashok Dalwai, deputy director general (technology centre), UIDAI."
55,Anti,Dalwai says other registrars (state government or India Post or Registrar General of India or nationalized banks) have not uploaded their enrolment centres on the website.
56,Anti,"Acknowledging slip-ups in the Aadhaar enrolment process, UIDAI deputy director general Ashok Dalwai told TOI there have been cases where an operator's fingerprints had been registered instead of the applicant's."
57,Anti,Dalwai said no one should apply more than once for an Aadhaar card unless he/she receives a rejection letter from the UIDAI.
58,Neutral,"Those whose Aadhaar card has been delayed in delivery can log on to the UID website and key in their enrolment number and take a print of their e-Aadhaar card, which is as valid as the Aadhaar card itself, said Dalwai."
59,Anti,"Over 10 lakh to 1 crore cards have been held back, said Ashok Dalwai."
60,Neutral,"We don't have any direct control over Tamil Nadu as it is been covered under NPR by the census department, said Dalwai."
61,Anti,"Admitting to glitches, Ashok Dalwai, UIDAI chief, said, We plan to finish the process by the end of the year."
62,Pro,UIDAI deputy director general Ashok Dalwai said the data centre in Bangalore is unique and it would store biometric and demographic data of people enrolled under Aadhaar throughout the country.
63,Pro,UIDAI deputy director general Ashok Dalwai told TOI the shell of the building has been handed over to Wipro Infotech for developing the data centre.
64,Pro,"UIDAI regional deputy director Ashok Dalwai told Times Of India the ministry of home affairs has given its clearance, and in the first phase, 65 guards will be deployed at the Centre."
65,Anti,"There are people who are entitled to certain schemes but cannot avail them due to lack of transparency in the system, said Ashok Dalwai, deputy director general, Unique Identification Authority of India (UIDAI)."
66,Pro,"Ashok Dalwai, deputy director-general of UID Authority of India, Bangalore, told TOI on Tuesday: The authority has completed all requirements as outlined by the Centre on the technical front."
67,Pro,"Dalwai said on the authority's part, new technical parameters had been introduced ."
68,Pro,"After intervention by the moderator, Dalwai said: I am 200% confident that UID is a legal body."
69,Pro,"Dharwad: Aadhaar is not only a foundation of unique identification of residents of India, but also the sheet anchor for all the services and facilities, a resident of India is entitled to get from the government said deputy director general 'Aadhaar' UIDAI regional office (Bangalore) Ashok Dalwai."
70,Neutral,"Everyone will get a chance'Ashok Dalwai, deputy director general, told TOI: As of now, India Post which is a registrar of UID has opened a few counters but public response is overwhelming."
71,Pro,"UIDAI regional deputy director Ashok Dalwai said the Centre has asked regional offices to furnish a database on Aadhaar-linked beneficiaries (existing and proposed) under various public services like subsidized LPG, pension schemes, student scholarship and PDS."
72,Pro,"Goa set to achieve 100% Aadhar card registrationPanaji, July 13, 2013, (PTI) : 18:46 ISTGoa is all set to become the first state to cover all people under the Aadhar card registry, chief minister Manohar Parrikar said here today."
73,Neutral,"Parrikar also asked Directorate of planning, statistics and evaluation and other government departments to upload all the necessary information on their websites for the benefit of general public."
74,Anti,Parrikar had said the riots were an administrative failure but defended Modi citing his inexperience.
75,Neutral,Parrikar had said that he would not like to jump into national politics and that he would rather retire from Goa.
76,Anti,"NEW DELHI: Asking Sebi to be alert on market supervision, finance minister Arun Jaitley on Saturday asked the regulator to take steps to expand investor base and deepen the commodity derivatives segment."
77,Pro,"Addressing the Sebi board, Jaitley also said the passage of new Aadhar law would help in expanding investor base in securities market via KYC (Know Your Client) simplification by greater use of technology."
78,Pro,"therefore we have decided that in addition to the Aadhaar platform all those who have a bank account will also get the LPG subsidy in their accounts directly, Finance Minister Arun Jaitley told reporters."
79,Pro,Jaitley said the scheme would be implemented in a mission mode.
80,Pro,"Addressing the function, UPA chairperson Sonia Gandhi said the Aadhaar scheme not only gives identity to the common man but is also a tool to claim benefits."
81,Neutral,"Taking into account the experience, they will submit the final report by the end of this (financial) year, finance minister Pranab Mukherjee said today."
82,Anti,Jaitley said the cap on cash transactions is being reduced to curb generation of black money and the move to introduce electoral bonds is for cleansing the political funding.
83,Anti,"As parties like BJD opposed the move to make Aadhaar mandatory for filing of Income Tax returns and making PAN application, Jaitley said linking of Aadhaar with PAN was necessary as people have multiple PAN cards and are using it as a tool for tax evasion."
84,Neutral,Jaitley said the UIDAI had been conceptualised by the previous UPA dispensation and the NDA government is putting it to use with 98 per cent adults or more than 108 crore people in India having been issued Aadhaar number.
85,Anti,"With regard to taxation of agriculture income, Jaitley said Centre does not have the power to impose tax on agriculture."
86,Neutral,Jaitley said the government will achieve the tax collection target of a record Rs 17 lakh crore as provided in the Revised Estimate.
87,Pro,"Hoping that Goods and Services Tax (GST) will be introduced from July 1, Jaitley said a consensus has been arrived at between the Centre and states on most of the contentious issues in the GST Council meeting."
88,Pro,"Large amounts to be saved by routing subsidy through Aadhar:GovtNew Delhi, Mar 11, 2016 (PTI) 18:39 ISTThousands of crore rupees will be saved by routing government subsidy through the Aadhaar system, Finance Minister Arun Jaitley said today, as the Lok Sabha passed a Bill to give statutory backing to the unique identity number scheme."
89,Neutral,"The effect is going to be on the Centre and state governments which will save thousands of crore, Jaitley said just before the measure was adopted by a voice vote."
90,Pro,"Moving the bill for consideration and passage earlier, Jaitley said targeted subsidy through Aadhar cards of LPG consumers had resulted in savings of over Rs 15000 crore at the Centre."
91,Anti,"Jaitley said discussion on the institution of Aadhar has been going on for over seven years after the then UPA government approved a bill in September, 2010 and introduced it in Parliament that December."
92,Pro,"Additionally, as I will elaborate later, we will undertake significant reform including enactment of a law to ensure all government benefits are conferred to people who deserve it by giving a statutory backing to the Aadhar platform, Finance Minister Arun Jaitley said while announcing Union Budget 2016-17."
93,Pro,"In a review meeting, Finance Minister Arun Jaitley told the officers that Aadhar card numbers may also be seeded with bank accounts as the same will help in directly transferring the subsidies to the bank accounts of the desired sections of the society under Direct Benefit Transfer (DBT) scheme."
94,Anti,"Giving reasons for not accepting the amendments, Jaitley said these amendments have dangerous consequences as they gave wide power to the government to share information."
95,Anti,"Jaitley further said while national security is a defined phrase and is mentioned in the Constitution, terms public emergency and public safety can be subject to wide interpretation."
96,Anti,"Referring to the other amendment with regard to engaging Comptroller and Auditor General (CAG) and Central Vigilance Commission (CVC) for the purpose of disclosing bio-metric details, Jaitley said, the issues concerning national security cannot be handled by public auditors or anti-corruption authority."
97,Anti,Jaitley further said that the some personal information can be shared with the consent of individual but core bio-metric details cannot be shared even with the consent of individual.
98,Neutral,Jaitley then told the House that his source was Lok Sabha website itself.
99,Pro,"The need for this (Aadhar) and the utility for this has been universally recognised across States, says Arun Jaitley, Union Finance Minister."
100,Anti,"It is a matter for the executive government to decide, Mr. Jaitley said while summing up the days proceedings at the Delhi Economic Conclave on Friday."
101,Anti,"There will have to be a universal standard to be laid down, Mr Jaitley said."
102,Anti,"Finance Minister Arun Jaitley said in his budget speech that out of a population of 125 crore, only  1.72 lakh file returns above Rs. 50 lakh, and shockingly only 25 lakh people show their income above Rs. 10 lakh."
103,Neutral,"According to experts having an open fire in the kitchen is like burning 400 cigarettes an hour, Mr. Jaitley said."
104,Neutral,"The Bill will be introduced in the current Budget Session of Parliament, Mr. Jaitley said."
105,Pro,"Terming it as a transformative piece of legislation, Mr. Jaitley said a social security platform will be developed using Aadhaar to accurately target beneficiaries."
106,Pro,"Aadhaar platform is now ready to support payments under various schemes directly to the beneficiaries accounts in select areas, Mukherjee said."
107,Pro,"Addressing the function,UPA Chairperson Sonia Gandhi said the Aadhar scheme gives identity to the common man and is a tool to claim benefits."
108,Pro,"Elaborating on implementation issues, Ramesh said the government claims to have saved Rs 49,000 crore LPG subsidies by linking with Aadhaar but a CAG report has debunked this in a recent report."
109,Anti,"Yesterday I have filed a writ petition in the Supreme Court challenging the decision to treat Aadhaar as a money bill, Ramesh, a former Union Minister during UPA, said here."
110,Anti,"Ramesh had said that Jaitley, in his attempt to justify the decision to treat Aadhaar as money bill, had misled the House by claiming that in the past two Bills, one on Juvenile Justice and another on African Development Bank, too had been brought as money bills."
111,???, 
112,???,"Insisting that a series of conditions are specified in Article 110 and that Article 110 uses the word only if those conditions are prevalent can a bill be declared a money bill, Ramesh had said that the Aadhaar Bill, which was passed as a money bill ignored five recommendations made by the Rajya Sabha."
113,???,"Stating that he himself does not have an Aadhaar card, Ramesh said a situation may arise when it may be needed even to book a flight or get a phone number."
0,Pro,"After the passage of GST bill with voice vote, Drabu said new tax regime will roll out in the state at midnight, making J&K the last state to join the GST."
1,Neutral,"Drabu said the Proviso-3 of the Presidential Order clearly states that notwithstanding anything contained in this order, the powers of J&K as per Section-5 of the Constitution of State, shall remain intact."
2,Pro,Drabu said all necessary safeguards to Section-5 of the J&K State Constitution and those enshrined in Article-370 of the Indian Constitution have been incorporated in the Presidential order regarding which apprehensions were expressed by some legislators during the discussion on the GST legislation.
3,Neutral,"Presenting the government's view, Finance Minister Haseeb Drabu said the government will ensure adequate safeguards for protecting the special constitutional position of Jammu and Kashmir as enshrined in Article 370 of the Indian Constitution."
4,Pro,"Drabu said the existing tax incentives under the industrial policy will be continued and the cross-LoC trade can be maintained in the current form""."
5,Pro,"Regarding GST, the finance minister said it would be an integrated tax regime which would replace 16 taxes currently being levied by the Centre and the state government."
6,Pro,"In case the GST is not extended to the state, the businesses will be crippled as no trader from Jammu and Kashmir will be able to do business with their counterparts from other parts of the country,"" Drabu said, adding the consumer in J-K will be the worst hit due to double taxation."
7,Neutral,"Drabu said in the absence of an alternative trading link, J-K is literally integrated with mainland Indian market""."
8,Neutral,"From 28% the rate of GST should be decreased to 18% for auto parts and car accessories and 12% for tractor parts, said Brijesh Goyal, convener of AAP's Delhi trade wing."
9,Anti,"If the server or internet is down, no transaction can take place, Goyal said."
10,Anti,"Brijesh Goyal, a representative of motor parts traders of Kashmere Gate, added to the list ofproblems by pointing out that it is now not possible to do business without high-speedinternet."
11,Pro,Aam Aadmi Party Trade Wing convener Brijesh Goyal said the workshop was very important as it would facilitate a smooth transition to GST.
12,Pro,"For small traders who are still not comfortable with online processes, this training is critical to enable effective transition, Goyal added."
13,Anti,"That said, it remained on a weak growth trajectory amid reports that the Goods and Services Tax (GST) was still hindering efforts to secure new clients, said Aashna Dodhia, economist at IHS Markit, and the author of the report."
14,Anti,"Still, the best overall performance of the economy was recorded since October 2016, endorsing the standpoint that the economy is recovering from the implementation of the twin shocks of demonetisation and GST, Dodhia said."
15,Neutral,"B T Manohar, chairman, Taxation Committee, Federation of Karnataka Chambers of Commerce and Industry, said every tax invoice should provide details about Central GST (which will be levied by the cental government) and Karnataka GST (which will be levied by state government)."
16,Pro,"The programmes have built confidence among the traders to welcome the GST regime, association founder and president Prakash Mandoth said."
17,Pro,"B T Manohar, Chairman of State Tax Committee team GST, Federation of Karnataka Chambers of Commerce and Industry (FKCCI), Bengaluru, said that Karnataka was a role model for all other states in the country."
18,Pro,He said GST had been implemented in the United States already.
19,Pro,He said awareness on GST was the need of the hour.
20,Pro,"B.T. Manohar, chairman, State Taxes Committee, FKCCI, says: GST will certainly bring down prices and check inflation."
21,Pro,"To provide legal back up, Karnataka unanimously passed the GST Bill 2017."
22,Neutral,"Manohar, president, Clothes and Readymade Garment Traders Association, Puthiyamputhur, said a new model, mastani midi, a womans garment comprising a set of three pieces, was moving fast."
23,Pro,"In the meeting, the exporters were assured that on 90% of the amount (of refund), within seven days, the refund will be made and if there is an undue delay, interest will be paid on the amount due, Nirmala said."
24,Neutral,"Elaborating on the issue, Commerce Secretary Rita Teaotia said the Department of Commerce has been taking up this matter with the Department of Revenue (DoR)."
25,Pro,Captain Abhimanyu said that the revenue growth of the state was increasing and was better than that of the neighbouring states.
26,Pro,"This would further increase after implementation of the GST Bill, he said adding that the World Bank and other financial institutions had also hailed the GST Bill."
27,Pro,"By then, this bill would take the form of a law, he added."
28,Anti,Capt Abhimanyu said the officers of the state excise and taxation department and the tax research unit had identified some other dealers involved in GST-related fraudulent activities.
29,Anti,"Other dealers are also likely to be acted against and penalised shortly, he added."
30,Anti,"The registration certificate of the firm has already been cancelled under the Haryana GST and Central GST Act to prevent any further fraudulent activity by the dealer, he said."
31,Neutral,"Similarly, Haryana finance minister Captain Abhimanyu said the GST council needed to ensure that there is no increase in the price of farm goods, which have been exempted from the new levy."
32,Pro,"Replying to Congress MLA from Palwal Karan Singh Dalal, the finance minister assured the House that GST will benefit all."
33,Anti,"Finance minister Captain Abhimanyu who presented the bill said, ""Efforts were being made for the last 10-12 years in the country to implement GST but the main impediment was lack of consensus between the Centre and the states""."
34,Pro,"Abhimanyu, himself an Army veteran, said that automobiles supplied through CSD were expected to see a reduction of  2.7% or even higher""."
35,Pro,"There will be a reduction of levies on these items to the extent of  2.7%,"" Abhimanyu said in a note prepared by his department on the issue."
36,Anti,Excise and taxation minister Captain Abhimanyu said the department officers and the tax research unit had identified some dealers indulging in these fraudulent activities.
37,Pro,"Before leaving for Australia, Abhimanyu said the Indian delegation was visiting the country as GST had been implemented in a better way there and in New Zealand."
38,Pro,Punjab finance minister Manpreet Badal said businesses and traders were getting ready for the rollout.
39,Pro,"I am sure over the next few weeks we will be able to complete the requirements for a rollout.        As with any initiative there may be hiccups and we should be prepared to deal with them, said Haryana finance minister Captain Abhimanyu."
40,Pro,"I am sure over the next few weeks we will be able to complete the requirements for a rollout.        As with any initiative there may be hiccups and we should be prepared to deal with them, said Haryana finance minister Captain Abhimanyu."
41,Pro,"Any person aggrieved by any profiteering can send his complaint to the committee,"" Abhimanyu said."
42,Pro,CHANDIGARH: Haryana finance minister Captain Abhimanyu said decisions taken in the recent meeting of the Goods and Services Tax (GST) Council would immensely benefit the state as the council had decided to give compensation to the states for five years.
43,Anti,Abhimanyu said the growth rate of Haryana had been less than 12% for the past few years.
44,Pro,"He said it was also decided in the meeting of the council in New Delhi recently that a separate corpus fund be created to compensate states, so as to ensure regular flow of compensation to all states for the next five years."
45,Pro,"CHANDIGARH: On day of GST launch , Haryana finance minister Captain Abhimanyu said that of 2,47,999 dealers in the state, 1,90,234 applicants have successfully registered with the GST system in different districts of the state."
46,Neutral,"Abhimanyu said  79.98% applicants had been logged in successfully in Kurukshetra,  74.84% in Karnal,  79.51% in Palwal,  78.52% in Mahendergarh (Narnual),  78.19% in Sonipat,  70.84% in Kaithal,  76.05% in Panipat,  73.03% in Bhiwani,  78.29% in Hisar,  70.67% in Rohtak,  77.11% in Sirsa,  70.39% in Ambala,  72.92% in Nuh,  81.69% in Fatehabad and  62.26% in Jind."
47,Pro,"He said the Haryana Goods and Services Tax Act, 2017 had been passed by the Haryana Vidhan Sabha on May 4."
48,Anti,Telangana Finance Minister Eatala Rajender asked for borrowing limit to be 3-4 per cent of the state GDP and said the present practice of tide grants has impinged on freedom of states.
49,Anti,"While July's downturn in the goods producing industry proved to be a temporary blip, services remained trapped in contraction, said Pollyanna De Lima , principal economist at IHS Markit."
50,Anti,"Private sector activity dipped for the first time since the demonetisation shock and to the greatest extent since early 2009, mirroring the sales trend,"" said Pollyanna De Lima , principal economist at IHS Markit."
51,Neutral,"Given that input costs rose at a softer pace, a whopping 96 percent of goods producers kept their selling prices unchanged over the month,"" said His Markit economist Pollyanna De Lima."
52,Neutral,"the Goods and Services Tax (GST),"" said Pollyanna De Lima, Economist at IHS Markit and author of the report""."
53,Anti,"As such, overall optimism slipped to a three-month low,"" Lima said."
54,Neutral,"With the impact of demonetisation largely over and the GST unlikely to substantially derail consumer spending, IHS Markit forecast real GDP growth to hit  7.3 per cent for 2017- 18 as a whole,"" Lima said."
55,Neutral,"Speaking to The Indian Express later, Naik said, The Governors address has significance, particularly after Assembly elections."
56,Anti,"Old stockThe entire chain of national commerce, which has Delhis wholesale markets at its centre, has gone kaput with purchasers and customers deciding to halt business for sometime, said Brijesh Goyal, the national convener of the Chamber of Trade and Industry (CTI)."
57,Anti,"Everyone is trying to understand what to do with the stock they bought before the GST came into effect, Mr. Goyal said."
58,Neutral,"We have conducted surveys with different bodies representing different trader communities over the last 15 days and have forwarded our recommendations to the Deputy Chief Minister and Finance Minister Manish Sisodia, said Brijesh Goyal, convenor of the Aam Aadmi Partys Trade Wing."
59,Neutral,"Those dealing in commodities such as footwear want to be included in the slab of under six per cent, spare part dealers in the 12 per cent slab and those dealing in consumables such as sweets and bakers to be under the six per cent slab, Mr. Goyal said."
60,Anti,"Mr. Goyal said the CTI hoped that more trade unions would participate in the strike, which had so far found support from the Chandni Chowk cloth market association, the Tank Road association from Karol Bagh, the Commuter Traders Association from Nehru Place, the Delhi Marble Association, and the Footwear Association of Ballimaran, among others."
61,Anti,"This was brought to the notice of Ajay Kashyap, Special Commissioner (Traffic), by a delegation today [Thursday], said Brijesh Goyal, national convenor of the Chamber of Trade and Industry (CTI)."
62,Neutral,"Brijesh Goyal, convenor of the AAP Trade Wing, said that while both the Centre and State government had reached an agreement on the broad contours of the conditions of the Bill, the provisions of dual control were yet to be agreed upon."
63,Neutral,"Representatives apprised Mr. Sisodia that they were in favour of being under the jurisdiction of the State government instead of the Centre, said Mr. Goyal."
64,Neutral,Mr. Goyal said that some representatives said that those generating an annual turnover of up to Rs. 1.5 crore should come under the State.
65,Neutral,"Most representatives, said Mr. Goyal, said that their experience in dealing with State tax authorities over the last 25 years would make their further association with representatives of the State tax regime more convenient and fruitful than with the Centres."
66,Neutral,"Mr. Sisodia was in agreement with their [traders] demands and assured them that he would bring up their concerns at the next meeting of the GST council on December 22 and 23, where the issue of jurisdiction will be discussed, said Mr. Goyal."
67,Pro,"The provision of providing bank account details at the time of applying for registration under the DVAT and CST Act has been made optional, which will encourage more traders to register, said Brijesh Goyal, convenor, AAP Trade Wing."
68,Neutral,"Brijesh Goyal, convenor of the AAP Trade Wing, said that while both the Centre and State government had reached an agreement on the broad contours of the conditions of the Bill, the provisions of dual control were yet to be agreed upon."
69,Neutral,"Representatives apprised Mr. Sisodia that they were in favour of being under the jurisdiction of the State government instead of the Centre, said Mr. Goyal."
70,Neutral,Mr. Goyal said that some representatives said that those generating an annual turnover of up to Rs. 1.5 crore should come under the State.
71,Neutral,"Most representatives, said Mr. Goyal, said that their experience in dealing with State tax authorities over the last 25 years would make their further association with representatives of the State tax regime more convenient and fruitful than with the Centres."
