Entity	Source	By-Statement
Deepak	DecH	To heal cracked heels , the onion is mashed and the paste is applied in a poultice to the heels , says Deepak , a farmer .
Deepak	IE	While Deepak ( 23 ) , a farmer , said he can not afford a solar lamp , Kaushalya Devi ( 70 ) showed her solar light , which barely illuminates a part of the small room .
Deepak	TOI	PERSON said the gang used to advertise on social networking sites , inviting application from unemployed people willing to open customer service centre ( CSC ) for issuance of Aadhaar card , pan card , income certificate , caste certificate , domicile certificate and providing money transfer facility .
Deepak Kumar	IE	While Deepakkumar ( 23 ) , a farmer , said he can not afford a solar lamp , Kaushalya Devi ( 70 ) showed her solar light , which barely illuminates a part of the small room .
Deepak Kumar	TOI	PERSON said the gang used to advertise on social networking sites , inviting application from unemployed people willing to open customer service centre ( CSC ) for issuance of Aadhaar card , pan card , income certificate , caste certificate , domicile certificate and providing money transfer facility .
Deepak Parekh	NIE	Mumbai : HDFC chairman Deepakparekh on Friday said the goods and services tax ( GST ) regime can push up the country 's growth by as much as 150-200 basis points ( BPS ) .
Devendra Fadnavis	TOI	Mumbai : chief minister PERSON on Sunday announced that the state cabinet would give one more chance to farmers who could not submit their loan waiver application .
Devendra Fadnavis	TOI	Last week , chief minister PERSON had said that the Marathwada region will be made PERSON in the next few years .
Devendra Fadnavis	TOI	Maharashtra chief minister PERSON : the Maharashtra government has launched some schemes which will help make the perennially parched Marathwada region free of drought , chief minister PERSON said on Tuesday .
Devendra Fadnavis	TOI	Cm Devendrafadnavis , unfazed by the criticism , said depletion of groundwater level is bound to happen in a year when the state was staring at a drought .
Devendra Fadnavis	Telegraph	My government is firmly behind the farmers in distress in parts of Maharashtra and a total of RS 7,000 crore would be spent to tackle it , chief minister PERSON announced in the assembly , replying to a debate on the biting scarcity in many of the state 's 48,000 villages .
Devendra Fadnavis	HT	Maharashtra chief minister PERSON said on Tuesday his government was willing to discuss the farmers issue with anyone provided they do not have a political agenda as they continued their protests even after he announced a farm loan waiver for small and marginal farmers in the state .
Devendra Fadnavis	IE	Yesterday , Maharashtra chief minister PERSON had said the government will announce a loan waiver before October 31 and about 1 .
Devendra Fadnavis	IE	Maharashtra cm PERSON announced a RS 30,000 crore loan waiver the biggest such write-off in the States history .
Devendra Fadnavis	IE	Earlier , after reviewing the drought situation , chief minister PERSON had said , the government has set up 12,064 cattle camps and deployed 4,774 water tankers in 12,116 villages .
Devendra Fadnavis	IE	After finance minister PERSON presented the budget , chief minister PERSON told PERSON , the budget reiterates governments commitment to accord highest priority to welfare schemes for Upliftment of farmers , poverty alleviation and generating employment for youths .
Devendra Fadnavis	IE	From land monetisation to seeking the help of financial institutions , the government will explore all available routes to help small and marginal farmers , chief minister PERSON said on Sunday .
Devendra Fadnavis	IE	Notably , Maharashtra chief minister PERSON had said in December last year that the Bjp-Led state government succeeded in curbing the farmers suicides by nearly 40 per cent in the Worst-Affected Yavatmal district of PERSON with the help of Baliraja Chetna Abhiyan .
Devendra Fadnavis	IE	Chief minister PERSON , even before he met a delegation of the Left-Affiliated all PERSON ( PERSON ) that led an estimated 40,000 farmers on a 180-Km March from PERSON to Mumbai , told PERSON that the state government was sensitive and positive to the demands of the farmers , many of them Tribals .
Devendra Fadnavis	IE	Chief minister PERSON said , the government is working towards providing 12-hour uninterrupted power to the farmers across rural Maharashtra .
Devendra Fadnavis	IE	Maharashtra cm PERSON ( file photo ) Maharashtra cm PERSON ( file photo ) chief minister PERSON said on Wednesday the Maharashtra government will study the Uttar Pradesh model of farm loan waiver , amid growing demand from across the political spectrum to help the States distressed farmers .
Devendra Fadnavis	IE	Chief minister PERSON on Thursday asked district officials in Drought-Hit Parbhani district in the Marathwada region to set up cattle camps and deploy more water tankers .
Devendra Fadnavis	IE	( source : PTI ) PERSON had said he is fine with IPL moving out of the drought hit Maharashtra .
Devendra Fadnavis	IE	( source : PTI ) a day after chief minister PERSON said he is fine with the IPL moving out of the Drought-Affected Maharashtra , his party colleague and BCCI secretary PERSON on Saturday warned that doing so will result in a loss of RS 100 CR for the state .
Devendra Fadnavis	IE	With the Maharashtra government set to expand the scope of its farm loan waiver scheme ahead of the state polls , chief minister PERSON told that the legislative assembly Thursday that this could cost the state Exchequer an additional RS 8,000 crore .
Devendra Fadnavis	IE	( express Photo/PERSON ) agitating farmers called off their stir on Monday after Maharashtra chief minister PERSON said his government has accepted most of the demands of the farmers .
Devendra Fadnavis	IE	Speaking in the state legislative assembly , chief minister PERSON said his government was open to talks with the farmers body , and that it was willing to consider all the demands put forth by farmers and Tribals .
Devendra Fadnavis	IE	Chief minister PERSON ( file photo ) chief minister PERSON ( file photo ) asserting that he was not against a loan waiver for farmers , chief minister PERSON Thursday said it wasnt a lasting solution for their problems and that the state government had made investments worth RS 30,500 crore to make farmers self-reliant in the state .
Devendra Fadnavis	IE	The developments come a day after chief minister PERSON announced that Maharashtra government will come out with a loan waiver for farmers before October 31 , which will benefit 1 .
Devendra Fadnavis	IE	42 PM : Maharashtra cm PERSON said the budget this time will be Farmer-Centric .
Devendra Fadnavis	IE	Maharashtra chief minister PERSON ( source : express archive photo by PERSON ) Maharashtra chief minister PERSON ( source : express archive photo by PERSON ) chief minister PERSON said Saturday the government was willing to allocate financial resources along with the centre to help 31 lakh farmers reeling under debt of RS 30,500 crore .
Devendra Fadnavis	IE	Addressing a farmers rally at Raigaon village in Kadegaon Taluka of Sangli district , chief minister PERSON said , overall , our budgetary allocations for the agriculture sector has gone up many folds .
Devendra Fadnavis	IE	After a series of protests in Maharashtra last year over the low procurement price of milk , chief minister PERSON had announced a subsidy of RS 5 per litre for dairy farmers .
Devendra Fadnavis	IE	Chief minister PERSON said , the extension will help farmers to avail loan waiver till May 20 .
Devendra Fadnavis	IE	Almost all member states are opposed to the Niti Aayogs proposal to completely remove agriculture commodities from the essential commodities act , however , many are in favour of relaxation in stock restrictions for agriculture goods , chief minister PERSON said on Friday .
Devendra Fadnavis	IE	Recently , chief minister PERSON had told the state assembly that at least 86 hectare of land and 82 lakh farmers in 151 Talukas and 20 revenue circles were affected by drought this year , which means at least 60 per cent of farmers have been hit by drought .
Devendra Fadnavis	IE	Maharashtra chief minister PERSON ( file photo ) Maharashtra chief minister PERSON ( file photo ) the Shiv Sena on Saturday asked Maharashtra chief minister PERSON to apologise to farmers in the state , claiming he had deceived them with fake promises of loan waiver during the 2014 assembly polls .
Devendra Fadnavis	IE	( file photo ) Maharashtra chief minister PERSON has said that Micro-Irrigation for agriculture will not only save water but also increase the productivity .
Devendra Fadnavis	IE	Amid the ongoing agitation of farmers in Maharashtra , chief minister PERSON had recently announced the biggest-ever farm loan waiver in the state .
Devendra Fadnavis	IE	Chief minister PERSON said that the schemes are oriented to make farmers self-reliant and double their income .
Devendra Fadnavis	IE	Maharashtrathe government will strive to ensure that rehabilitation of Flood-Affected people is done in record time , chief minister PERSON said , adding that efforts will be made to make the state PERSON by diverting rain water from Konkan region to North Maharashtra and Marathwada as well as water from Wainganga river to PERSON by constructing a tunnel .
Devendra Fadnavis	IE	At a meeting , chief minister PERSON said , the government is all set to put the entire agriculture sector on separate solar feeder to provide quality and consistent power supply to farmers in the state .
Devendra Fadnavis	IE	The state governments impetus on greater investments in the agriculture sector has resulted in generation of RS 40,000-Crore income to farmers in the last one year in Maharashtra , chief minister PERSON said on Friday .
Devendra Fadnavis	IE	( file photo ) as farmers in some parts of Maharashtra on Thursday went on a strike , chief minister PERSON said his government was trying to resolve the issue through talks but the opposition Congress and NCP were instigating them for political gains .
Devendra Fadnavis	IE	( express archive ) skill development training can promote economically self-reliant entrepreneurs and beat unemployment through job creation in diverse sectors , including agriculture and industries , chief minister PERSON said on Friday interacting with ITI students .
Devendra Fadnavis	IE	At a meeting held with national agriculture cooperative marketing Federation of India ( Nafed ) , chief minister PERSON said , the state government was committed to provide both financial and logistic support to farmers cultivating cereals such as tur and PERSON .
Devendra Fadnavis	IE	Almost two years after chief minister PERSON announced RS 34,000-Crore farm loan waiver , district central cooperative banks ( Dccbs ) seem to have benefited more than the nationalised banks under the scheme .
Devendra Fadnavis	IE	PERSON ( file ) PERSON ( file ) while loan waiver is going to lead to financial constraints , it will not impact development projects in Maharashtra , chief minister PERSON said on Saturday .
Devendra Fadnavis	IE	At the States annual Kharif review meeting held on Friday , chief minister PERSON said that the government would prioritise agriculture , water conservation and finance and was planning to consolidate the agriculture ( and allied sector ) growth from 12 .
Devendra Fadnavis	IE	Farmers in Maharashtra , who had been on a war path from June 1 to press for their various demands , had on June 11 called off their stir after chief minister PERSON announced loan waiver for them .
Devendra Fadnavis	IE	Despite recurring droughts and a severe water crisis in Marathwada and PERSON , Maharashtra remained a most favoured destination for investors , chief minister PERSON said on Wednesday while launching mission drinking water .
Devendra Fadnavis	NIE	Earlier , a rift developed among agitators as a group of farmers decided to call off the protest after chief minister PERSON announced a partial loan waiver for small and marginal farmers on June 3 .
Devendra Fadnavis	NIE	Chief minister PERSON had announced the Drought-Like situation last week in 180 of 355 Talukas of the state .
Devendra Fadnavis	NIE	Farmers in Maharashtra , who had been on a war path from June 1 to press for their various demands , had on June 11 called off their stir after chief minister PERSON announced loan waiver for them .
Devendra Fadnavis	NIE	By Ptiwashington : the Maharashtra government is aspiring to make the state the first trillion-dollar economy by 2025 , five years early , by investing in infrastructure , agriculture and services and by leveraging foreign investments in various sectors , chief minister PERSON has said .
Devendra Fadnavis	NIE	Chief minister PERSON has already said loan waiver to farmers will be considered at an appropriate time .
Devendra Fadnavis	NIE	By Ptinagpur : Maharashtra chief minister PERSON has announced that paddy farmers in the state will get a bonus of RS 500 per quintal for the crop .
Devendra Fadnavis	NIE	The developments came a day after chief minister PERSON announced that Maharashtra government will come out with a loan waiver before October 31 , which will benefit 1 .
Devendra Fadnavis	DecH	Fuel prices will come down once the centre builds a consensus to bring petrol and diesel under the goods and services tax ( GST ) , Maharashtra chief minister PERSON said today .
Devendra Fadnavis	DecH	PERSON collective initiative , we have to boost the morale of farmers and help them tide over the crisis , chief minister PERSON has said .
Devendra Fadnavis	DecH	PERSON , Apr 9 , 2016 ( PTI ) 15:16 Ista day after chief minister PERSON said he is fine with the IPL moving out of the Drought-Affected Maharashtra , his party colleague and BCCI secretary PERSON today warned that doing so will result in a loss of RS 100 CR for the state .
Devendra Fadnavis	DecH	Earlier , a rift developed among agitators as a group of farmers decided to call off the protest after chief minister PERSON announced a partial loan waiver for small and marginal farmers on June 3 .
Edappadi K.Palaniswami	NIE	Salem : as part of the measures being taken to improve agriculture , a special scheme for development of Rainfed agriculture has been conceived , said chief minister Edappadik.Palaniswami at a mega government scheme distribution function in Salem on Tuesday .
Edappadi K.Palaniswami	TOI	Salem : prime minister PERSON has not responded to a request seeking his appointment for an All-Party delegation from PERSON to urge him to set up the Cauvery management board , said chief minister Edappadik.Palaniswami talking to reporters in the city on Sunday , Palaniswami said the Pmo has not granted appointment for a delegation of All-Party representatives and farmers even after a reminder of the request was sent .
Edappadi K.Palaniswami	TOI	Trichy : prime minister PERSON has not responded to a request seeking his appointment for an All-Party delegation from PERSON to urge him to set up the Cauvery management board , said chief minister Edappadik.Palaniswami talking to reporters in the city on Sunday , Palaniswami said the Pmo has not granted appointment for a delegation of All-Party representatives and farmers even after a reminder of the request was sent .
Edappadi K.Palaniswami	TOI	PERSON chief minister Edappadik.Palaniswami and deputy chief minister O Panneerselvam said the Dmk party despite being a part of the previous Congress-Led upa government in the centre betrayed farmers in the state .
Gandhi	NIE	Urging people to shout his oft-repeated slogan against Modi and raising farmers issue during the address , PERSON claimed that the PM had duped farmers and looted people of India to give RS 30,000 crore to PERSON .
Gandhi	NIE	The government and opposition parties were Thursday locked in a bitter war of words with finance minister PERSON citing a spike in the number of taxpayers to staunchly defend Demonetisation while Congress president PERSON said the note ban cost 1 .
Gandhi	NIE	Referring to his visit last week to Madhya Pradesh when he was not allowed to enter the state to meet the families of farmers who died in police firing , PERSON said , when I asked the policemen under what law they were stopping me from entering the state , they told me there was no law but they were only carrying out orders .
Gandhi	NIE	Taking to Twitter , PERSON said he will make every effort to secure the future of the farmers .
Gandhi	NIE	Addressing a rally on Friday in PERSON , PERSON said PERSON has failed to fulfil his promise of giving jobs to two crore youths and ensuring remunerative prices to farmers for their produce .
Gandhi	NIE	PERSON said finance minister PERSON had recently said economic decline had nothing to do with the Demonetisation .
Gandhi	NIE	PERSON , while addressing the 'PERSON rally ' here , said : CBI director PERSON was removed at midnight .
Gandhi	NIE	Talking about GST and Demonetisation , PERSON claimed : due to GST and Demonetisation , small and medium businesses have been destroyed .
Gandhi	NIE	On the farm loan waiver issue , PERSON said , when they were in government they waived RS 70,000 crore in loan waiver and recalled the BJP MPs criticism against the same .
Gandhi	NIE	PERSON said he wanted Madhya Pradesh and PERSON to become agriculture centres in five years and provide food , fruits and vegetables to the country .
Gandhi	NIE	Read| if elected , Congress will waive off loans of Chhattisgarh farmers : Rahul PERSONaccusing Singh of indulging in corruption , PERSON claimed that RS 5,000 crore had vanished in the chit fund scam .
Gandhi	NIE	They do n't have money for farmers ' loan waiver but they can waive loans of India 's 15 richest industrialists , PERSON said .
Gandhi	NIE	Addressing a rally in Uttar Pradesh 's Bahraich district , PERSON said : the BJP is , in fact , insulting the farmers in the name of the PERSON , which the prime minister discusses very much , as it will give only RS 3 .
Gandhi	NIE	Comparing the Pm-Kisan to the Congress ' minimum income guarantee scheme , Nyay , Gandhi said : on the other hand , the Congress has announced that it will give RS 6,000 per month to the poor households ( if voted to power ) .
Gandhi	NIE	PERSON said that this decision has thrown farmers , small shopkeepers and housewives into utter chaos .
Gandhi	NIE	Ejaz Kaiser Byexpress news Serviceraipur : Congress president PERSON , in a scathing attack on the Bharatiya Janata Party ( BJP ) government at the centre and in PERSON , said the saffron party encourages a few industrialists but ignores the concerns of the poor , the farmers , the labourers and the youngsters .
Gandhi	NIE	Samajwadi party ( SP ) spokesman PERSON said the BJP government has misplaced priorities and predicted that farmers ' anger would cost them dear in the 2019 PERSON elections .
Gandhi	NIE	At the same rally , Congress president PERSON had said : the voice that is reverberating now across the country is of the farmers who are in deep distress and crisis .
Gandhi	NIE	Donning a Himachali cap with dry followers atop , PERSON in his forty minute speech said , `` Demonetisation is a move against the poor .
Gandhi	NIE	PERSON said no one could silence the voice of farmers .
Gandhi	NIE	5 lakh crore loans of 15 big industrialists , why cant the loans of farmers be waived , PERSON asked .
Gandhi	NIE	By Ptirajnandgaon : if the Congress was voted to power in PERSON , it will write off farmers ' debts within 10 days , party president PERSON said Friday .
Gandhi	NIE	PERSON said his party had promised loan waiver for farmers during polls in Punjab and Karnataka and kept its word after coming to power in the two states .
Gandhi	NIE	If elected to power , the Congress will write off debt of each farmer in PERSON in 10 days , PERSON told the gathering .
Gandhi	NIE	Also read : PM Modi 's latest Demonetisation barf is 'Shell firms ' , says PERSON spoke from the ramparts of the red fort in Delhi that before he became the prime minister in 2014 , the elephant ( India ) was sleeping , he was insulting people of the country , PERSON said .
Gandhi	NIE	Reiterating his Partys promise to waive off farmers loans if voted to power , PERSON said , let our government assume power in MP .
Gandhi	NIE	According to sources , PERSON told the members that the party should play the role of a constructive opposition and should not be seen as against the GST legislations .
Gandhi	NIE	PERSON said the agriculture loans of farmers in Madhya Pradesh , including the kin of former chief minister PERSON , have been waived by the Congress government in the state .
Gandhi	NIE	PERSON also said if his party comes to power , it would change the GST and abolish the 28 per cent GST slab .
Gandhi	NIE	PERSON said the Modi government has waived off loans of big industrialists but when farmers want the waiver of their loans , where the amount involved in much less , PERSON would not oblige .
Gandhi	NIE	By PERSON : the time has come to usher in another green revolution and the Congress will do it if comes to power after PERSON polls , Congress president PERSON said at a farmers ' outreach here on Wednesday .
Gandhi	NIE	By Ptinew Delhi : the leaders of all opposition parties stand united with farmers in ensuring their good future , Congress president PERSON said on Friday and called for a farm loan waiver .
Gandhi	NIE	Read | not going back to ballot paper : chief election Commissionerraking up the Rafale deal which he alleges to be the India 's biggest defence scam , PERSON also said that agrarian crisis , unemployment and the attacks on democratic institutions along with PERSON 's corruption in the jets deal will be the core issues in the upcoming PERSON polls .
Gandhi	NIE	Earlier , attacking the Narendra Modi government on Demonetisation , Congress president PERSON on Wednesday said that the note ban policy has destroyed lives of crores of farmers .
Gandhi	NIE	Addressing a public rally in Valsad district of Gujarat , PERSON also claimed that the Modi government refused to waive farmers ' loans but wrote off RS 3 .
Gandhi	NIE	We are going to waive farm loans , PERSON told the media here asserting that his party would fulfil the promise of waving loans of farmers in all the three states within 10 days of coming to power .
Gandhi	NIE	At the rally , which was organised as Thanksgiving meet of farmers for the agricultural farm loan waiver executed by the Kamal Nath government , PERSON said the waiver is just the beginning , were also committed to starting food processing units and cold storages near farmers plots in every district of the state .
Gandhi	NIE	We will not retract a single inch , we will not let them sleep at night till farmer loans are waived , PERSON said .
Gandhi	NIE	PERSON ( @ PERSON ) December 20 , 2018Indicating that further simplification of the goods and services tax is on the anvil , Prime Minister PERSON had Tuesday said his government wants to ensure that '99 per cent things ' attract Sub-18 per cent GST slab .
Gandhi	NIE	The govt seems to have reached its levels of desperation to overcome the initial blunder it created , through the unplanned and Unthought process of Demonetisation , PERSON said in his Facebook post .
Gandhi	NIE	Also read : PERSON rally highlights | PM failed to fulfil promises , say PERSON , PERSON in his address at the venue , claimed that the centre had filed an affidavit in the Supreme Court saying it would not implement the M s Swaminathan commission report .
Gandhi	NIE	Talking to journalists after being stopped , PERSON said , the Narendra Modi government and the PERSON government are both PERSON .
Gandhi	NIE	Modiji has betrayed the people on the issue of providing jobs to two crore people every year and depositing RS 15 lakh cash into their accounts by bringing ( back ) black money stashed abroad , PERSON said .
Gandhi	NIE	Addressing a two-day meet of the all India Congress Seva DAL , PERSON said every sections of the society , be it farmers , youths or small-scale traders , suffered under the Modi government and they should get justice .
Gandhi	NIE	When the Congress returned to power in Rajasthan , the state government waived farm loans , PERSON said .
Gandhi	NIE	PERSON at the farmers ' rally on Wednesday had said , the watchman with a 56-inch chest ran away and told a woman , PERSON , defend me .
Gandhi	NIE	Being a Delhi girl , I challenge you to fight the last two phases of PERSON elections on the issues of Demonetisation , GST , women 's security and the false promises made to people of the country , PERSON had said during the roadshow .
Gandhi	NIE	On Demonetisation and the GST implementations , PERSON claimed that people have confusion about these .
Gandhi	NIE	After the note ban , Modi made honest and hardworking citizens to stand in queues outside banks , PERSON said .
Gandhi	NIE	Asked about farmers converging in Delhi to press their demands , PERSON said such freedom does not exist in countries such as Russia , China or Saudi Arabia .
Gandhi	NIE	On Tuesday , PERSON had said the opposition will not rest till the Narendra Modi government waives farm loans across the country .
Gandhi	NIE	We will raise this topic in parliament as well , PERSON told media after meeting with the farmers .
Gandhi	NIE	Raising his pet poll issues , PERSON said : prime minister PERSON ruined the country 's economy by implementing Demonetisation and 'PERSON tax ' ( GST ) .
Gandhi	NIE	Blaming Modi of misusing powers by implementing Demonetisation , PERSON said : Demonetisation had taken money out of people 's pockets and the prime minister gave that amount to his industrialist friends .
Gandhi	NIE	Also read : Pm-PERSON scheme an insult to farmers , says PERSON the Demonetisation , no thief or person with black money , but farmers , youths , unemployed , and people of Bundelkhand stood in the queues , said PERSON .
Gandhi	NIE	PERSON also said if voted to power , the Congress will waive farmers ' loans within 10 days of forming government .
Gandhi	NIE	The Congress will waive the loans of each farmer in PERSON within 10 days , PERSON said .
Gandhi	NIE	Urging people to shout his oft-repeated slogan against Modi and raising farmers issue during the address , PERSON claimed that the PM had duped farmers and looted the people of India to give `30,000 crore to PERSON .
Gandhi	NIE	Ani Byraebareli : Congress president PERSON on Saturday said that no prime minister except PERSON took foolish decisions such as Demonetisation and goods and servies tax ( GST ) in the past 70 years .
Gandhi	NIE	The Congress will install a people 's government in the state which will empower farmers , small and medium businesses and provide employment to the youth , PERSON said .
Gandhi	IE	Accusing prime minister PERSON of impinging upon the autonomy of institutions like the PERSON , Congress vice president PERSON said on Monday the central banks governor was informed of his decision on Demonetisation just a day before the move .
Gandhi	IE	( express photo by PERSON ) accusing prime minister PERSON of impinging upon the autonomy of institutions like the PERSON , Congress vice president PERSON said on Monday the central banks governor was informed of his decision on Demonetisation just a day before the move .
Gandhi	IE	( express photo by PERSON ) accusing prime minister PERSON of impinging upon the autonomy of institutions like the PERSON , Congress vice president PERSON said on Monday the central banks governor was informed of his decision on Demonetisation just a day before the move .
Gandhi	IE	Then they purchase 80 to 90 cattle and carry it in their truck pretending as farmers and eventually slaughter the animals , PERSON said in New Delhi .
Gandhi	IE	Read more PERSON hits out at BJP govt over GST Billspeaking at an interaction with students in Mumbai , Congress vice president PERSON said it was the BJP which was responsible for the GST bill being delayed for seven years , adding that if the government wanted to see the bill make progress during the upcoming budget session , it would have to give in to their concerns .
Gandhi	IE	( PTI file photo ) Congress vice-president PERSON on Saturday said his Mahayatra from Deoria in Eastern Uttar Pradesh to Delhi from September 6 is a campaign to help secure rights of the poor , farmers and labourers in government resources .
Gandhi	IE	In her message to the family of Jakhar , PERSON said , the Congress party as indeed the entire nation will forever remember the contributions made by him during the course of his long public life , particularly to the cause of farming community .
Gandhi	IE	Attacking Modis policy , PERSON said that two months after the conclusion of Demonetisation drive , the government has failed to provide even estimate of black money unearthed .
Gandhi	IE	PERSON in a statement on Thursday said the agricultural land bought by her in in Amipur village of Faridabad district or other property acquired by her had no links to finances of her husband , his skylight hospitality or reality major PERSON .
Gandhi	IE	On Wednesday PERSON wife , PERSON had said in a statement that agricultural land bought by her in Haryanas Faridabad district or other property acquired by her had no links to finances of her husband , his skylight hospitality or reality major PERSON .
Gandhi	IE	While taking a number of questions on GST , PERSON told the audience that the very structure of GST is flawed .
Gandhi	IE	When asked why did the Congress allow the GST bill to be passed in PERSON if they knew it was flawed , PERSON said , we had tried stopping .
Gandhi	IE	The problems of water and fodder supply in Drought-Hit areas would be taken up on a war footing , PERSON said while interacting with farmers and labourers in the drought hit villages of Aurangabad in Maharashtra .
Gandhi	IE	Ganesh PERSON vice-president PERSON said on Saturday that the GST bill will be passed in parliament in in just 15 minutes with Congress support if the Narendra Modi government accepted conditions laid down by his party .
Gandhi	IE	According to sources , PERSON told the members that the party should play the role of a constructive opposition and should not be seen as against the GST legislations .
Gandhi	IE	Addressing the media at the MP border , PERSON said , PM Modi doesnt waive off farmer loans , doesnt give them benefits , only gives them bullets .
Gandhi	IE	We have to give everyone an identity card ( and ) Aadhaar is as good an identity as any , said PERSON , women and child development minister .
Gandhi	IE	We have to give everyone an identity card ( and ) Aadhaar is as good an identity as any , said PERSON , women and child development minister .
Gandhi	Telegraph	PERSON has asked the Bengal Congress unit to organise a slew of meetings for drawing up the Congress manifesto for Bengal Telegraph file Picturethe Congresss manifesto consultation exercise , an assignment from none other than PERSON , has thrown a fresh challenge for the Bengal unit of the party that is grappling with cash crunch and organisational decline .
Gandhi	Telegraph	Speaking about the enormous hike in price of fertilisers , PERSON told the large number of farmers present in the rally that the BJP was always opposed to foreign direct investment for the interest of small traders in the country .
Gandhi	Telegraph	PERSON in Congress president PERSON addresses an election campaign rally for PERSON polls , in Samastipur , ( PTI ) Congress president PERSON on Tuesday said no farmer in the country will be jailed for not repaying loans if his party comes to power at the centre .
Gandhi	Telegraph	PERSON claimed that PERSON of youth lost jobs because of Demonetisation and GST as production in factories stopped due to lack of demand in the market .
Gandhi	Telegraph	Congress leader PERSON had also tweeted government says 99 per cent of goods will be at 18 per cent GST .
Gandhi	Telegraph	Congress chief PERSON had said that giving farmers RS 17 a day was an insult to all that they stood for .
Gandhi	Telegraph	PERSON , the president of the Congress , had , in May , said if his party came to power , there would be only one slab of the GST and that the party was against the 28 per cent slab .
Gandhi	HT	Congress vice-president PERSON said on Wednesday the Uttar Pradesh governments decision to waive off crop loans of up to RS 1 lakh of small and marginal farmers in the state is a partial relief but a step in the right direction .
Gandhi	HT	@ Incindia has always supported loan waivers for farmers in distress ( sic ) , PERSON said in a series of tweets .
Gandhi	HT	Normalcy has returned to the currency system post Demonetisation and the pace of cash withdrawls has come down , said PERSON who retired as deputy governor of Reserve Bank of India ( RBI ) on Monday and was in charge of the currency management division .
Gandhi	HT	Earthquakeduring the winter session last year , which was washed out because of ruckus over the governments note ban move , PERSON told reporters outside parliament that he had information about personal corruption by the prime minister and there would be an earthquake if he was allowed to speak in PERSON .
Gandhi	HT	When Modijis government came , farmers were promised full help , but across the country farmers are committing suicide , PERSON said .
Gandhi	HT	Hitting out at the government on Demonetisation , PERSON said , last year I dont know what happened on November 8th PERSON got an idea , he came on the TV and said PERSON , PERSON Im going to ban the notes in your pockets .
Gandhi	HT	25Pm : the government waives loans of the top 50 rich men of the country but not of the farmers , PERSON said before leaving for PERSON .
Gandhi	HT	25Pm : PERSON says he spoke to the families of the deceased farmers on phone and conveyed condolences .
Gandhi	HT	55Pm : PERSON says the Congress has stood with the farmers from the fields to parliament .
Gandhi	HT	Pointing to farmer suicides and unemployment in the country , PERSON said the last three years were a betrayal of the mandate the government had received .
Gandhi	HT	The government seems to have reached its levels of desperation to overcome the initial blunder it created through the unplanned and Unthought process of Demonetisation , PERSON said on Facebook .
Gandhi	DecH	Cong wo n't allow govt to take land of farmers easily : Rahulanantapur ( AP ) , July 24 , 2015 , PTI : 12:58 Isthitting out at the NDA government over the contentious land bill , Congress vice president PERSON today said he would not let prime minister PERSON take farmers ' land easily .
Gandhi	DecH	PERSON said that he would continue to fight for the salaried class and put pressure on the government which works for a selected group of industrialists and those with black money .
Gandhi	DecH	PERSON said that in parliament he had asked PERSON four questions on his promises of bringing back black money and depositing RS 15 lakh in everybody 's bank account , the recent budget proposal of turning black money to white , PERSON suicide , PERSON and PERSON and finally about the number of youths employed as a result of his 'Make in India ' scheme .
Gandhi	DecH	Asked about roadblocks in implementation of GST bill , PERSON said , it was Congress which brought in the GST legislation .
Gandhi	DecH	Asked what could the government do to help farmers battling agrarian crisis and deficient rainfall , PERSON said we have made a slow transition from agricultural economy to knowledge economy and industry economy .
Gandhi	DecH	They are focusing not so much on farmers , not so much on agriculture , PERSON said .
Gandhi	DecH	A day after PERSON said the GST bill will be passed in parliament in just 15 minutes with his party 's support if the Narendra Modi government accepted conditions laid down by it , parliamentary affairs minister PERSON PERSON said it was not not fair on its part to set conditions for the passage of the measure .
Gandhi	DecH	PERSON said the government had to bow down on the land ordinance and allow it to lapse due to the support from the farming community to Congress ' fight against the measure .
Gandhi	DecH	In her message to the family of Jakhar , PERSON said , the Congress party as indeed the entire nation will forever remember the contributions made by him during the course of his long public life , particularly to the cause of farming community .
Gandhi	DecH	Taking a jibe at the prime minister over his frequent foreign tours , PERSON said that PERSON is always going on world tours , but he had not seen him standing even once with a farmer or an unemployed youth .
Gandhi	DecH	Opposing the land bill , Congress vice president PERSON has said that the party would not allow an inch of land to be acquired from farmers and made it clear that they are not in favour of the bill .
Gandhi	DecH	In the first meeting of the CWC since the prime minister declared that land ordinance would not be PERSON , PERSON said that due to Congress ' sustained campaign , the government has been compelled to withdraw its Anti-Farmer amendments .
Gandhi	DecH	The credit for this goes to every worker of the Congress party , who under Rahul 's active guidance , carried out a sustained agitation , PERSON said , hailing the leadership of the Congress vice president to the cause of farmers .
Gandhi	DecH	PERSON , says PERSON , June 16 , 2015 , Dhns 23:29 Istcongress vice-president PERSON on Monday asked prime minister PERSON to sack external affairs minister PERSON Swaraj for helping former IPL chief PERSON who is the symbol of black money .
Gandhi	TOI	In PERSON , PERSON said Demonetisation and GST left Lakhs of people unemployed .
Gandhi	TOI	In all the other rallies , PERSON said employment among youth and financial crisis among farmers were the two biggest challenges before the state and the country .
Gandhi	TOI	There has been no contribution from the centre to the Congress-Led government 's RS 8,500 crore contribution in farm loan waivers , PERSON said on PERSON .
Gandhi	TOI	With the help of other farmers , I managed to rescue her but she had been injured severely by then , PERSON said .
